pk_transaction_id,pk_transaction_detail_id,fk_product_id,fk_variant_id,purchasing_quantity,total_price,transaction_date,transaction_time
1,1,1,1,2,11.98,2021-05-15,13:45:00
1,2,3,1,1,8.99,2021-05-15,13:45:00
2,1,4,2,3,32.97,2021-05-16,10:30:00
3,1,5,2,5,4.95,2021-05-17,15:05:00
3,2,6,1,2,3.98,2021-05-17,15:05:00
4,1,2,1,1,2.99,2021-05-18,09:20:00
4,2,7,2,2,4.98,2021-05-18,09:20:00
5,1,8,1,1,2.99,2021-05-19,14:55:00
5,2,10,2,1,5.49,2021-05-19,14:55:00
6,1,12,1,10,9.90,2021-05-20,08:30:00
6,2,9,2,3,10.47,2021-05-20,08:30:00
7,1,11,1,2,7.98,2021-05-21,11:45:00
8,1,13,2,1,4.99,2021-05-22,16:15:00
8,2,15,1,2,6.98,2021-05-22,16:15:00
9,1,2,2,4,13.96,2021-05-23,10:00:00
10,1,16,1,3,14.97,2021-05-23,17:45:00
10,2,3,2,1,3.33,2021-05-23,17:45:00
11,1,7,1,6,17.94,2021-05-24,12:30:00
12,1,1,2,2,5.98,2021-05-25,16:00:00
12,2,4,1,1,1.99,2021-05-25,16:00:00
13,1,8,2,10,29.90,2021-05-26,09:20:00
13,2,10,1,3,8.97,2021-05-26,09:20:00
14,1,12,2,4,3.96,2021-05-27,14:55:00
14,2,9,1,1,3.99,2021-05-27,14:55:00
15,1,11,2,5,9.95,2021-05-28,08:30:00
15,2,13,1,1,4.99,2021-05-28,08:30:00
16,1,2,2,3,14.97,2021-05-29,11:45:00
16,2,15,2,1,1.99,2021-05-29,11:45:00
17,1,16,2,2,9.98,2021-05-30,16:15:00
17,2,3,1,2,17.98,2021-05-30,16:15:00
