pk_expense_report_id,report_type,start_date,end_date,create_time,supply_expense,employee_expense,other_expense,total_expense
1,Monthly,2023-02-01,2023-02-28,2023-03-01 10:00:00,5000.00,2000.00,800.00,7800.00
2,Quarterly,2023-01-01,2023-03-31,2023-04-01 10:00:00,15000.00,6000.00,2400.00,21600.00
3,Annual,2022-01-01,2022-12-31,2023-01-01 10:00:00,60000.00,24000.00,9600.00,93600.00
4,Monthly,2023-03-01,2023-03-31,2023-04-01 10:00:00,5200.00,2100.00,850.00,8150.00
5,Weekly,2023-03-01,2023-03-07,2023-03-08 10:00:00,1200.00,500.00,200.00,1900.00
6,Monthly,2023-01-01,2023-01-31,2023-02-01 10:00:00,4800.00,1900.00,770.00,7470.00
7,Quarterly,2023-04-01,2023-06-30,2023-07-01 10:00:00,15500.00,6200.00,2500.00,24200.00
8,Annual,2023-01-01,2023-12-31,2024-01-01 10:00:00,61000.00,25000.00,10000.00,96000.00
9,Weekly,2023-03-08,2023-03-14,2023-03-15 10:00:00,1300.00,550.00,220.00,2070.00
10,Monthly,2023-04-01,2023-04-30,2023-05-01 10:00:00,5300.00,2200.00,880.00,8380.00
