pk_inventory_report_id,report_type,start_date,end_date,create_time
1,Daily,2023-03-01,2023-03-01,2023-03-02 08:00:00
2,Weekly,2023-02-24,2023-03-02,2023-03-03 08:00:00
3,Monthly,2023-02-01,2023-02-28,2023-03-01 08:00:00
4,Quarterly,2023-01-01,2023-03-31,2023-04-01 08:00:00
5,Yearly,2022-01-01,2022-12-31,2023-01-01 08:00:00
6,Daily,2023-03-02,2023-03-02,2023-03-03 08:00:00
7,Weekly,2023-03-03,2023-03-09,2023-03-10 08:00:00
8,Monthly,2023-03-01,2023-03-31,2023-04-01 08:00:00
9,Quarterly,2023-04-01,2023-06-30,2023-07-01 08:00:00
10,Yearly,2023-01-01,2023-12-31,2024-01-01 08:00:00
