pk_supply_record_id,fk_supply_product_id,fk_supply_variant_id,fk_supplier_id,supply_date,supply_quantity,total_price,pay_term
1,1,1,101,2023-04-01,150,890,"Net 30 days"
2,1,2,102,2023-04-02,200,130,"Net 30 days"
3,2,1,103,2023-04-03,100,250,"Net 45 days"
4,2,2,104,2023-04-04,120,400,"Net 45 days"
5,3,1,105,2023-04-05,60,500,"Net 30 days"
6,3,2,106,2023-04-06,40,680,"Net 60 days"
7,4,1,107,2023-04-07,50,600,"Net 30 days"
8,4,2,108,2023-04-08,45,450,"Net 30 days"
9,5,1,109,2023-04-09,160,230,"Net 45 days"
10,5,2,110,2023-04-10,180,170,"Net 45 days"
11,6,1,101,2023-04-11,130,250,"Net 60 days"
12,6,2,102,2023-04-12,100,340,"Net 60 days"
13,7,1,103,2023-04-13,210,300,"Net 30 days"
14,7,2,104,2023-04-14,160,390,"Net 30 days"
15,8,1,105,2023-04-15,110,320,"Net 45 days"
16,8,2,106,2023-04-16,130,240,"Net 45 days"
17,9,1,107,2023-04-17,90,260,"Net 60 days"
18,9,2,108,2023-04-18,80,280,"Net 60 days"
19,10,1,109,2023-04-19,190,350,"Net 30 days"
20,10,2,110,2023-04-20,100,490,"Net 30 days"
21,11,1,101,2023-04-21,90,850,"Net 45 days"
22,11,2,102,2023-04-22,70,660,"Net 45 days"
23,12,1,103,2023-04-23,120,110,"Net 60 days"
24,12,2,104,2023-04-24,85,300,"Net 60 days"
25,13,1,105,2023-04-25,105,500,"Net 30 days"
26,13,2,106,2023-04-26,80,390,"Net 30 days"
27,14,1,107,2023-04-27,130,1200,"Net 45 days"
28,14,2,108,2023-04-28,110,990,"Net 45 days"
29,15,1,109,2023-04-29,140,460,"Net 60 days"
30,15,2,110,2023-04-30,120,480,"Net 60 days"
31,1,1,101,2023-05-01,150,870,"Net 30 days"
32,2,1,102,2023-05-02,100,290,"Net 45 days"
33,3,2,103,2023-05-03,45,720,"Net 60 days"
34,4,1,104,2023-05-04,55,650,"Net 30 days"
35,5,2,105,2023-05-05,185,175,"Net 45 days"
36,6,1,106,2023-05-06,135,260,"Net 60 days"
37,7,2,107,2023-05-07,155,385,"Net 30 days"
38,8,1,108,2023-05-08,115,315,"Net 45 days"
39,9,2,109,2023-05-09,85,275,"Net 60 days"
40,10,1,110,2023-05-10,195,360,"Net 30 days"
41,16,1,101,2023-04-01,250,174.3,"Net 30"
42,16,2,102,2023-04-02,200,208.6,"Net 30"
43,17,1,103,2023-04-03,150,314.1,"Net 60"
44,17,2,104,2023-04-04,120,503.64,"Net 60"
45,18,1,105,2023-04-05,180,251.58,"Net 30"
46,18,2,106,2023-04-06,100,349.3,"Net 30"
47,19,1,107,2023-04-07,90,222.57,"Net 30"
48,19,2,108,2023-04-08,80,335.16,"Net 60"
49,20,1,109,2023-04-09,130,271.53,"Net 30"
50,20,2,110,2023-04-10,70,244.93,"Net 60"
51,21,1,101,2023-04-11,60,335.58,"Net 30"
52,21,2,102,2023-04-12,50,524.25,"Net 30"
53,22,1,103,2023-04-13,220,307.86,"Net 60"
54,22,2,104,2023-04-14,160,529.18,"Net 60"
55,23,1,105,2023-04-15,170,419.58,"Net 30"
56,23,2,106,2023-04-16,100,602.37,"Net 30"
57,24,1,107,2023-04-17,95,629.65,"Net 30"
58,24,2,108,2023-04-18,55,1015.65,"Net 60"
59,25,1,109,2023-04-19,130,461.13,"Net 30"
60,25,2,110,2023-04-20,95,716.83,"Net 60"
61,26,1,101,2023-04-21,110,559.89,"Net 30"
62,26,2,102,2023-04-22,85,1022.45,"Net 30"
63,27,1,103,2023-04-23,120,503.64,"Net 60"
64,27,2,104,2023-04-24,75,808.58,"Net 60"
65,28,1,105,2023-04-25,160,279.44,"Net 30"
66,28,2,106,2023-04-26,130,454.65,"Net 30"
67,29,1,107,2023-04-27,140,342.44,"Net 30"
68,29,2,108,2023-04-28,105,454.65,"Net 60"
69,30,1,109,2023-04-29,210,293.37,"Net 30"
70,30,2,110,2023-04-30,160,384.86,"Net 60"
71,16,1,101,2023-05-01,260,182.28,"Net 30"
72,17,2,102,2023-05-02,130,545.79,"Net 30"
73,18,1,103,2023-05-03,190,269.73,"Net 60"
74,19,2,104,2023-05-04,85,359.19,"Net 60"
75,20,1,105,2023-05-05,135,284.85,"Net 30"
76,31,1,101,2023-04-01,150,419.85,Net 30
77,31,2,102,2023-04-02,200,110.6,Net 30
78,32,1,103,2023-04-03,150,135.45,Net 60
79,32,2,104,2023-04-04,180,23.94,Net 30
80,33,1,105,2023-04-05,200,419.3,Net 60
81,33,2,106,2023-04-06,60,251.58,Net 30
82,34,1,107,2023-04-07,100,244.3,Net 60
83,34,2,108,2023-04-08,85,236.25,Net 30
84,35,1,109,2023-04-09,80,279.3,Net 30
85,35,2,110,2023-04-10,150,104.65,Net 60
86,36,1,101,2023-04-11,100,244.3,Net 30
87,36,2,102,2023-04-12,110,53.13,Net 60
88,37,1,103,2023-04-13,70,195.3,Net 30
89,37,2,104,2023-04-14,180,42.84,Net 60
90,38,1,105,2023-04-15,120,174.3,Net 30
91,38,2,106,2023-04-16,200,138.6,Net 60
92,39,1,107,2023-04-17,90,440.1,Net 30
93,39,2,108,2023-04-18,50,279.3,Net 60
94,40,1,109,2023-04-19,120,419.58,Net 30
95,40,2,110,2023-04-20,60,461.7,Net 60
96,41,1,101,2023-04-21,100,349.3,Net 30
97,41,2,102,2023-04-22,50,314.65,Net 60
98,42,1,103,2023-04-23,140,293.58,Net 30
99,42,2,104,2023-04-24,70,97.3,Net 60
100,43,1,105,2023-04-25,60,335.58,Net 30
101,43,2,106,2023-04-26,90,251.1,Net 60
102,44,1,107,2023-04-27,150,363.75,Net 30
103,44,2,108,2023-04-28,140,343.58,Net 60
104,45,1,109,2023-04-29,120,139.86,Net 30
105,45,2,110,2023-04-30,70,172.55,Net 60
106,31,1,101,2023-05-01,160,447.84,Net 30
107,32,2,102,2023-05-02,190,112.84,Net 60
108,33,1,103,2023-05-03,170,398.65,Net 30
109,34,2,104,2023-05-04,95,265.65,Net 60
110,35,1,105,2023-05-05,75,262.5,Net 30
111,46,1,101,2023-03-10,100,209.3,"Net 30 days"
112,46,2,102,2023-03-11,80,279.3,"Net 30 days"
113,47,1,103,2023-03-12,150,209.65,"Net 45 days"
114,47,2,104,2023-03-13,100,174.3,"Net 45 days"
115,48,1,105,2023-03-14,110,240.45,"Net 60 days"
116,48,2,106,2023-03-15,120,240.45,"Net 60 days"
117,49,1,107,2023-03-16,90,314.1,"Net 30 days"
118,49,2,108,2023-03-17,60,335.58,"Net 30 days"
119,50,1,109,2023-03-18,200,180.6,"Net 45 days"
120,50,2,110,2023-03-19,180,180.6,"Net 45 days"
121,51,1,101,2023-03-20,160,167.44,"Net 60 days"
122,51,2,102,2023-03-21,150,176.85,"Net 60 days"
123,52,1,103,2023-03-22,130,188.37,"Net 30 days"
