pk_transaction_id,pk_transaction_detail_id,fk_product_id,fk_variant_id,purchasing_quantity,discounted_total_price
1,1,1,1,2,11.98
1,2,3,1,1,8.99
2,1,4,2,3,32.97
3,1,5,2,5,4.95
3,2,6,1,2,3.98
4,1,2,1,1,2.99
4,2,7,2,2,4.98
5,1,8,1,1,2.99
5,2,10,2,1,5.49
6,1,12,1,10,9.90
6,2,9,2,3,10.47
7,1,11,1,2,7.98
8,1,13,2,1,4.99
8,2,15,1,2,6.98
9,1,2,2,4,13.96
10,1,16,1,3,14.97
10,2,3,2,1,3.33
11,1,7,1,6,17.94
12,1,1,2,2,5.98
12,2,4,1,1,1.99
13,1,8,2,10,29.90
13,2,10,1,3,8.97
14,1,12,2,4,3.96
14,2,9,1,1,3.99
15,1,11,2,5,9.95
15,2,13,1,1,4.99
16,1,2,2,3,14.97
16,2,15,2,1,1.99
17,1,16,2,2,9.98
17,2,3,1,2,17.98
